,ID,Detail,Price,Comment
JP,A14604,1月21日全国一斉発売,＜口紅＞全12色 各5000円（税抜）,色も輝きも、すべてが新しいスマートルージュ。どこから見つめられても、魅せる仕上がり。透明感と美しい発色に心奪われる12色。
EN,A14604,N/A,N/A,Colour made for flare. Luxurious sheens bring lips to life for instant photogenic finish from every angle.
JP,A14301,エイジングをデザインする。4Dはり美容液。はりのある肌の見え方に着目し、すっきりと引きしまった印象の肌に整えるだけでなく、はりの印象をそこなう肌表面の影にアプローチする、4D*はり美容液です。触れなくても跳ね返されそうな、みずみずしく若わかしい印象の輝く肌に導きます。,セラムラフェルミサンS（医薬部外品）美容液 40g 30000円（税抜）レフィル 40g 29500円（税抜）,							もっと見る						
EN,A14301,N/A,N/A,Addressing the cumulative effects of gravity – volume visibly re-amplified contours redefined.
JP,A11811,(医薬部外品)クリーム 30g 60000円(税抜)(レフィル)30g 59000円(税抜),※表示価格は希望小売価格です。,
EN,A11811,CREAM,N/A,  Object of desire. Source of a youthful look. Pure bliss.
JP,A15201,2月21日全国一斉発売,(医薬部外品)美容液170ML 8500円(税抜),近くで見ても、触れても美しい肌質感のために、毛穴やきめの一つひとつまでもていねいに磨き上げ、なめらかでラディアンスマットな肌に導く美容液です。
EN,A15201,N/A,N/A,SERUM
JP,A15302,肌本来のちからに着目した美容成分により、肌の美しさを目覚めさせる美容液です。肌が求めるものを選択的に届け、豊かなうるおいと輝きに満ちた生命感あふれる肌に導きます。,ル・セラムｎ（医薬部外品）美容液 40mL 25000円（税抜）レフィル 40mL 24500円（税抜）,							もっと見る						
EN,A15302,A perception shift in skincare Le S&#xE9;rum helps to open the door to skin&#x2018;s most naturally radiant state. ,N/A,Transforms texture smoothes fine lines. Reveals its true beauty over time.
